ISO	Country	Year	GPI	offrel	formrelat	GNI	dogint	groupvalue	GPIlog	offrellog	dogintlog	GNIlog
"ARE"	"United Arab Emirates"	2008.0	1.56	1.0	11.0	2.82949571000644E11	6.0	4.0	0.444685821261446	0.0	1.79175946922805	26.3685345243671
"ARE"	"United Arab Emirates"	2008.0	1.56	1.0	11.0	2.82949571000644E11	6.0	4.0	0.444685821261446	0.0	1.79175946922805	26.3685345243671
"URY"	"Uruguay"	2008.0	1.52	0.0	3.0	2.57522302565605E10	10.0	1.0	0.418710334858185	1.0	2.30258509299405	23.9717870722108
"UZB"	"Uzbekistan"	2008.0	2.32	0.0	1.0	2.6827218219319E10	9.0	1.0	0.841567185678219	1.0	2.19722457733622	24.0126828142837
"ZWE"	"Zimbabwe"	2008.0	2.38	0.0	9.0	4.06821935595214E9	10.0	2.0	0.867100487683383	1.0	2.30258509299405	22.1264712359878
"DZA"	"Algeria"	2010.0	2.42	1.0	10.0	1.61080584687155E11	6.0	2.0	0.883767540168595	0.0	1.79175946922805	25.8051706027167
"ARG"	"Argentina"	2010.0	1926.0	0.0	9.0	3.78200074627375E11	10.0	1.0	7.56320059235807	1.0	2.30258509299405	26.6586891904933
"ARM"	"Armenia"	2010.0	2476.0	0.0	9.0	9.98673295071501E9	9.0	2.0	7.81439963380449	1.0	2.19722457733622	23.0245233441598
"AZE"	"Azerbaijan"	2010.0	2467.0	0.0	3.0	4.89517233050914E10	9.0	1.0	7.81075811652936	1.0	2.19722457733622	24.6141004107188
"BHR"	"Bahrain"	2010.0	1875.0	1.0	11.0	2.35375952665205E10	7.0	4.0	7.53636393840451	0.0	1.94591014905531	23.8818647783573
"BLR"	"Belarus"	2010.0	2171.0	0.0	8.0	5.77017525820971E10	9.0	1.0	7.68294316987829	1.0	2.19722457733622	24.778553384039
"BRA"	"Brazil"	2010.0	2084.0	0.0	5.0	1.89107411427257E12	10.0	2.0	7.64204440287326	1.0	2.30258509299405	28.2681660980005
"BGR"	"Bulgaria"	2010.0	1807.0	0.0	9.0	5.16086401259338E10	10.0	1.0	7.49942329059223	1.0	2.30258509299405	24.6669549397177
"CHL"	"Chile"	2010.0	1731.0	0.0	9.0	1.83264312202052E11	9.0	1.0	7.45645455517621	1.0	2.19722457733622	25.9341952767209
"CHN"	"China"	2010.0	2244.0	0.0	1.0	5.81091204172988E12	10.0	1.0	7.71601526664259	1.0	2.30258509299405	29.3907586523951
"COL"	"Colombia"	2010.0	2926.0	0.0	8.0	2.54309260142626E11	9.0	2.0	7.98139158158007	1.0	2.19722457733622	26.261816922957
"CZE"	"Czech Republic"	2010.0	1545.0	0.0	7.0	2.0116226389102E11	10.0	3.0	7.34277918933185	1.0	2.30258509299405	26.0273777023677
"ECU"	"Ecuador"	2010.0	2234.0	0.0	9.0	6.5932448654082E10	9.0	2.0	7.71154897962915	1.0	2.19722457733622	24.9118965495925
"EST"	"Estonia"	2010.0	1879.0	0.0	6.0	1.93585876954941E10	10.0	3.0	7.53849499941346	1.0	2.30258509299405	23.686401966521
"GEO"	"Georgia"	2010.0	3171.0	0.0	9.0	1.1776582999266E10	9.0	2.0	8.06180227453835	1.0	2.19722457733622	23.189378905118
"GHA"	"Ghana"	2010.0	1804.0	0.0	4.0	3.05396749077696E10	8.0	2.0	7.49776170062257	1.0	2.07944154167984	24.142292491879
"HTI"	"Haiti"	2010.0	2.21	0.0	9.0	6.50380200293629E9	9.0	1.0	0.792992515529661	1.0	2.19722457733622	22.5956527663756
"HUN"	"Hungary"	2010.0	1592.0	0.0	7.0	1.30992967337435E11	10.0	1.0	7.37274636640433	1.0	2.30258509299405	25.5984094742594
"IND"	"India"	2010.0	2.68	0.0	8.0	1.50791066884101E12	9.0	2.0	0.985816794522765	1.0	2.19722457733622	28.0417461455906
"IRQ"	"Iraq"	2010.0	3605.0	1.0	10.0	1.36157943666608E11	5.0	2.0	8.19007704971905	0.0	1.6094379124341	25.6370813993264
"JOR"	"Jordan"	2010.0	2012.0	1.0	11.0	2.48909446685889E10	6.0	2.0	7.60688453121963	0.0	1.79175946922805	23.9377699063457
"KAZ"	"Kazakhstan"	2010.0	2259.0	0.0	6.0	1.21371416098975E11	9.0	2.0	7.722677516468	1.0	2.19722457733622	25.5221212356161
"KWT"	"Kuwait"	2010.0	1677.0	1.0	12.0	1.26114335696527E11	6.0	4.0	7.42476176182321	0.0	1.79175946922805	25.5604547585986
"LBN"	"Lebanon"	2010.0	2751.0	0.0	6.0	3.70581833370604E10	7.0	2.0	7.91971976092457	1.0	1.94591014905531	24.3357550370949
"LBY"	"Libya"	2010.0	1917.0	1.0	11.0	7.67471447371662E10	7.0	2.0	7.55851674304564	0.0	1.94591014905531	25.0637820206001
"LTU"	"Lithuania"	2010.0	1817.0	0.0	7.0	3.84973124808192E10	10.0	2.0	7.50494206839617	1.0	2.30258509299405	24.3738542701106
"MYS"	"Malaysia"	2010.0	1597.0	1.0	12.0	2.32945356692874E11	7.0	2.0	7.37588214821501	0.0	1.94591014905531	26.1740697423764
"MEX"	"Mexico"	2010.0	2205.0	0.0	3.0	1.04731469757538E12	10.0	2.0	7.69848278788095	1.0	2.30258509299405	27.6772505734047
"MAR"	"Morocco"	2010.0	1983.0	1.0	11.0	9.62947974884911E10	6.0	2.0	7.5923661285198	0.0	1.79175946922805	25.2906801302879
"NGA"	"Nigeria"	2010.0	2.62	0.0	6.0	2.33070400094818E11	6.0	2.0	0.963174317773006	1.0	1.79175946922805	26.1746063912048
"PAK"	"Pakistan"	2010.0	3227.0	1.0	12.0	1.84122783057105E11	3.0	2.0	8.07930819205196	0.0	1.09861228866811	25.9388686712337
"PER"	"Peru"	2010.0	2.23	0.0	9.0	1.27971288855547E11	9.0	2.0	0.802001585472027	1.0	2.19722457733622	25.5750717698897
"PHL"	"Philippines"	2010.0	2515.0	0.0	6.0	2.31619027164463E11	7.0	2.0	7.83002808253384	1.0	1.94591014905531	26.1683597345577
"POL"	"Poland"	2010.0	1794.0	0.0	8.0	4.85840970895021E11	9.0	2.0	7.49220304261874	1.0	2.19722457733622	26.909147186918
"QAT"	"Qatar"	2010.0	1497.0	1.0	12.0	1.18091415845756E11	8.0	4.0	7.31121838441963	0.0	2.07944154167984	25.494724872036
"ROU"	"Romania"	2010.0	1779.0	0.0	8.0	1.74896810980265E11	9.0	2.0	7.48380668766583	1.0	2.19722457733622	25.8874619854157
"RWA"	"Rwanda"	2010.0	2.23	0.0	3.0	5.72161497626673E9	10.0	1.0	0.802001585472027	1.0	2.30258509299405	22.4675169409963
"SGP"	"Singapore"	2010.0	1588.0	0.0	4.0	2.27376809398305E11	10.0	3.0	7.37023064180708	1.0	2.30258509299405	26.1498744315246
"SVN"	"Slovenia"	2010.0	1376.0	0.0	6.0	5.03181218429375E10	9.0	3.0	7.22693601849329	1.0	2.19722457733622	24.6416311243761
"ZAF"	"South Africa"	2010.0	2339.0	0.0	4.0	3.17712620490656E11	9.0	2.0	7.75747876658418	1.0	2.19722457733622	26.4844131019864
"THA"	"Thailand"	2010.0	2481.0	0.0	8.0	3.08010041371585E11	7.0	2.0	7.8164169836918	1.0	1.94591014905531	26.4533982212444
"TUN"	"Tunisia"	2010.0	1791.0	1.0	11.0	4.39358065968323E10	8.0	2.0	7.49052940206071	0.0	2.07944154167984	24.5059954645929
"TUR"	"Turkey"	2010.0	2468.0	0.0	8.0	7.54130282035215E11	8.0	2.0	7.81116338502528	1.0	2.07944154167984	27.3488309778734
"URY"	"Uruguay"	2010.0	1677.0	0.0	3.0	3.50598177781551E10	10.0	1.0	7.42476176182321	1.0	2.30258509299405	24.2803215189974
"UZB"	"Uzbekistan"	2010.0	2279.0	0.0	1.0	3.83462120496674E10	9.0	1.0	7.73149202924568	1.0	2.19722457733622	24.3699215867305
"ZWE"	"Zimbabwe"	2010.0	2735.0	0.0	9.0	6.86923312497888E9	9.0	2.0	7.91388671485608	1.0	2.19722457733622	22.6503183103093
"DZA"	"Algeria"	2012.0	2298.0	1.0	10.0	1.93204750260788E11	6.0	2.0	7.7397944584087	0.0	1.79175946922805	25.9870163456937
"ARG"	"Argentina"	2012.0	1.76	0.0	9.0	4.96112638697524E11	10.0	1.0	0.56531380905006	1.0	2.30258509299405	26.9300688320376
"ARM"	"Armenia"	2012.0	2214.0	0.0	9.0	1.11925734969949E10	9.0	2.0	7.70255611326858	1.0	2.19722457733622	23.1385163146868
"AZE"	"Azerbaijan"	2012.0	2284.0	0.0	3.0	6.02136931511973E10	9.0	1.0	7.7336835707759	1.0	2.19722457733622	24.8211656243792
"BHR"	"Bahrain"	2012.0	2083.0	1.0	11.0	2.58916706635246E10	7.0	4.0	7.64156444126097	0.0	1.94591014905531	23.9771871579259
"BLR"	"Belarus"	2012.0	2132.0	0.0	8.0	6.26701487862806E10	9.0	1.0	7.66481578528574	1.0	2.19722457733622	24.8611510753031
"BRA"	"Brazil"	2012.0	2046.0	0.0	5.0	2.46346643679365E12	10.0	2.0	7.62364194651157	1.0	2.30258509299405	28.5325905946418
"BGR"	"Bulgaria"	2012.0	1685.0	0.0	9.0	5.41866373971035E10	10.0	1.0	7.42952084278646	1.0	2.30258509299405	24.7157001725066
"CHL"	"Chile"	2012.0	1581.0	0.0	9.0	2.49442308530758E11	9.0	1.0	7.36581283720947	1.0	2.19722457733622	26.242493497067
"CHN"	"China"	2012.0	2154.0	0.0	1.0	8.02733716377401E12	10.0	1.0	7.67508185771633	1.0	2.30258509299405	29.7138739779051
"COL"	"Colombia"	2012.0	2.64	0.0	8.0	3.34868759298303E11	9.0	2.0	0.970778917158225	1.0	2.19722457733622	26.5370045287235
"CZE"	"Czech Republic"	2012.0	1406.0	0.0	7.0	2.03345784377522E11	10.0	3.0	7.24850407237061	1.0	2.30258509299405	26.0381737382144
"ECU"	"Ecuador"	2012.0	2.05	0.0	9.0	8.3365338499697E10	9.0	2.0	0.717839793150317	1.0	2.19722457733622	25.146498454404
"EST"	"Estonia"	2012.0	1706.0	0.0	6.0	2.23560340321878E10	10.0	3.0	7.44190672805162	1.0	2.30258509299405	23.830362100637
"GEO"	"Georgia"	2012.0	2546.0	0.0	9.0	1.4800794221343E10	8.0	2.0	7.84227877911735	1.0	2.07944154167984	23.4179466798809
"GHA"	"Ghana"	2012.0	1793.0	0.0	4.0	4.01261290061881E10	8.0	2.0	7.49164547360513	1.0	2.07944154167984	24.4152935552266
"HTI"	"Haiti"	2012.0	2177.0	0.0	9.0	7.75696190251916E9	9.0	1.0	7.68570306123455	1.0	2.19722457733622	22.7718565870752
"HUN"	"Hungary"	2012.0	1523.0	0.0	7.0	1.28087955191622E11	9.0	1.0	7.32843735289516	1.0	2.19722457733622	25.5759830148212
"IND"	"India"	2012.0	2675.0	0.0	8.0	1.87209632098525E12	9.0	2.0	7.89170465933011	1.0	2.19722457733622	28.258079946178
"IRQ"	"Iraq"	2012.0	3227.0	1.0	10.0	2.01092662505936E11	5.0	2.0	8.07930819205196	0.0	1.6094379124341	26.0270316462664
"JOR"	"Jordan"	2012.0	1859.0	1.0	11.0	2.94229492482872E10	6.0	2.0	7.52779398772144	0.0	1.79175946922805	24.1050407934682
"KAZ"	"Kazakhstan"	2012.0	2147.0	0.0	6.0	1.66922826921629E11	9.0	2.0	7.67182679787878	1.0	2.19722457733622	25.8407974283137
"KWT"	"Kuwait"	2012.0	1708.0	1.0	12.0	1.69624637548991E11	6.0	4.0	7.44307837434852	0.0	1.79175946922805	25.8568538183209
"LBN"	"Lebanon"	2012.0	2435.0	0.0	6.0	4.19348295016255E10	7.0	2.0	7.79770203551669	1.0	1.94591014905531	24.4593825715971
"LBY"	"Libya"	2012.0	2822.0	1.0	10.0	7.25812914427709E10	7.0	2.0	7.94520113241276	0.0	1.94591014905531	25.0079730319427
"LTU"	"Lithuania"	2012.0	1.8	0.0	7.0	4.213837558591E10	10.0	2.0	0.587786664902119	1.0	2.30258509299405	24.4642246965469
"MYS"	"Malaysia"	2012.0	1.59	1.0	12.0	2.95984521539704E11	6.0	2.0	0.46373401623214	0.0	1.79175946922805	26.4135729978076
"MEX"	"Mexico"	2012.0	2.44	0.0	3.0	1.18474262462882E12	10.0	2.0	0.89199803930511	1.0	2.30258509299405	27.8005466725195
"MAR"	"Morocco"	2012.0	1889.0	1.0	11.0	1.00417881045857E11	6.0	2.0	7.54380286750151	0.0	1.79175946922805	25.3326061264128
"NGA"	"Nigeria"	2012.0	2707.0	0.0	6.0	4.15013126585275E11	5.0	2.0	7.9035962896143	1.0	1.6094379124341	26.7515759870028
"PAK"	"Pakistan"	2012.0	3.0	1.0	12.0	2.23990153946389E11	3.0	2.0	1.09861228866811	0.0	1.09861228866811	26.1348679322389
"PER"	"Peru"	2012.0	2094.0	0.0	9.0	1.70988680959132E11	9.0	2.0	7.64683139143048	1.0	2.19722457733622	25.8648631980368
"PHL"	"Philippines"	2012.0	2386.0	0.0	6.0	2.88278628125228E11	7.0	2.0	7.77737360265786	1.0	1.94591014905531	26.3871933081639
"POL"	"Poland"	2012.0	1.53	0.0	8.0	5.06260113031239E11	8.0	2.0	0.425267735404344	1.0	2.07944154167984	26.9503164315256
"QAT"	"Qatar"	2012.0	1373.0	1.0	12.0	1.60003050563481E11	6.0	4.0	7.22475340576797	0.0	1.79175946922805	25.7984587180202
"ROU"	"Romania"	2012.0	1585.0	0.0	8.0	1.75763179303279E11	9.0	2.0	7.36833968631138	1.0	2.19722457733622	25.892403353749
"RWA"	"Rwanda"	2012.0	2348.0	0.0	3.0	7.07306932014188E9	10.0	1.0	7.76131918094799	1.0	2.30258509299405	22.6795603556227
"SGP"	"Singapore"	2012.0	1426.0	0.0	4.0	2.71512893649939E11	10.0	3.0	7.26262860097424	1.0	2.30258509299405	26.3272754656161
"SVN"	"Slovenia"	2012.0	1374.0	0.0	6.0	4.78968248832487E10	9.0	3.0	7.22548147278229	1.0	2.19722457733622	24.592315052804
"ZAF"	"South Africa"	2012.0	2.27	0.0	4.0	3.99853254669657E11	9.0	2.0	0.819779831493311	1.0	2.19722457733622	26.7143634534177
"THA"	"Thailand"	2012.0	2395.0	0.0	8.0	3.74726227901265E11	7.0	2.0	7.78113850984502	1.0	1.94591014905531	26.6494615373641
